,precision,recall,f1-score,support
0,0.9466666666666667,0.9508928571428571,0.9487750556792873,224.0
1,0.9899328859060402,0.9703947368421053,0.9800664451827242,304.0
2,0.9693877551020408,0.9895833333333334,0.979381443298969,192.0
3,0.927007299270073,0.9921875,0.9584905660377359,128.0
4,0.9637096774193549,0.93359375,0.9484126984126984,256.0
accuracy,0.9637681159420289,0.9637681159420289,0.9637681159420289,0.9637681159420289
macro avg,0.959340856872835,0.9673304354636592,0.9630252417222831,1104.0
weighted avg,0.9642047023136645,0.9637681159420289,0.9637567863836881,1104.0
